"Code","SPYGEN_code","Date","Country","Region","Site","Replicate","Protection","Time_start","Time_finish","duration","center_lon","center_lat","least_dist_reserve","temp","filter","envPC1","envPC2","envPC3","envPC4"
"PQ1_3","SPY181812","15/06/2018","France","Porquerolles",1,3,"reserve","11:41","12:11","00:30",6.23878,42.9956,0,21,0.2,-1.37810852390099,0.122122281583626,-0.0271319844385935,-1.205132708506
"PQ1_4","SPY181153","15/06/2018","France","Porquerolles",1,4,"reserve","11:41","12:11","00:30",6.23878,42.9956,0,21,0.2,-1.30615284793336,0.146397025009248,0.0285624771459257,-1.23296613921253
"PQ2_1","SPY181816","15/06/2018","France","Porquerolles",2,1,"outside5","12:45","13:15","00:30",6.18551,42.9916,4.1,21,0.2,-1.10451040430538,0.649333372810486,-0.362939324069338,-1.27744095243215
"PQ2_2","SPY181813","15/06/2018","France","Porquerolles",2,2,"outside5","12:45","13:15","00:30",6.18551,42.9916,4.1,21,0.2,-0.983744662742314,0.708819396516433,-0.314038061019324,-1.2991612151728
"PQ2_3","SPY181826","15/06/2018","France","Porquerolles",2,3,"outside5","13:35","14:05","00:30",6.18551,42.9916,4.1,21,0.2,-1.41011831498946,0.524356364737815,-0.528396671331194,-1.18383098284396
"PQ2_4","SPY181808","15/06/2018","France","Porquerolles",2,4,"outside5","13:35","14:05","00:30",6.18551,42.9916,4.1,21,0.2,-1.45032575928916,0.507290711340995,-0.561539106387377,-1.17348151527988
"PQ3_1","SPY181825","15/06/2018","France","Porquerolles",3,1,"outside10","14:38","15:08","00:30",6.1785,43.00922,7.9,21,0.2,-1.24448606056181,-0.0950582090295496,0.974165362443377,0.527724976024826
"PQ3_2","SPY181815","15/06/2018","France","Porquerolles",3,2,"outside10","14:38","15:08","00:30",6.1785,43.00922,7.9,21,0.2,-1.20423313575353,-0.0735186583796541,0.999051056666388,0.523931430892101
"PQ3_3","SPY181809","15/06/2018","France","Porquerolles",3,3,"outside10","15:26","15:56","00:30",6.1785,43.00922,7.9,21,0.2,-1.27299004075607,-0.112207857426899,0.970468810990864,0.530258832636102
"PQ3_4","SPY181821","15/06/2018","France","Porquerolles",3,4,"outside10","15:26","15:56","00:30",6.1785,43.00922,7.9,21,0.2,-1.24076122766365,-0.0951916088411817,0.992078861362194,0.527203055370122
"CX1_1","SPY181830","21/06/2018","France","Cap-Roux",1,1,"reserve","09:21","09:51","00:30",6.92233,43.45787,0,23,0.2,0.261480037426744,0.454640742852281,-1.61052709946676,-2.14400496089538
"CX1_2","SPY181829","21/06/2018","France","Cap-Roux",1,2,"reserve","09:21","09:51","00:30",6.92233,43.45787,0,23,0.2,0.254911124000506,0.390390941801309,-1.63251652100511,-2.17908640117151
"CX1_3","SPY181810","21/06/2018","France","Cap-Roux",1,3,"reserve","10:21","10:52","00:31",6.92233,43.45787,0,23,0.2,0.147274023120423,0.265964050803614,-1.75117348791461,-2.22764666439838
"CX1_4","SPY181814","21/06/2018","France","Cap-Roux",1,4,"reserve","10:21","10:52","00:31",6.92233,43.45787,0,23,0.2,0.155006385157884,0.270216110848119,-1.73253088615044,-2.2238130948401
"CX2_1","SPY181820","21/06/2018","France","Cap-Roux",2,1,"outside5","11:23","11:53","00:30",6.88473,43.42721,4,23,0.2,0.127076101064312,0.202639704833572,-2.27530220395245,-1.54194734072177
"CX2_2","SPY181811","21/06/2018","France","Cap-Roux",2,2,"outside5","11:23","11:53","00:30",6.88473,43.42721,4,23,0.2,-0.0875817566403833,0.0764702618321359,-2.33438780455585,-1.52552556738095
"CX2_3","SPY180634","21/06/2018","France","Cap-Roux",2,3,"outside5","12:12","12:42","00:30",6.88473,43.42721,4,23,0.2,0.0327158028649674,0.142276261003081,-2.26733323271731,-1.53575329310812
"CX2_4","SPY180934","21/06/2018","France","Cap-Roux",2,4,"outside5","12:12","12:42","00:30",6.88473,43.42721,4,23,0.2,-0.0715867262412396,0.0855428098724589,-2.32505845669153,-1.52599751612184
"CX3_1","SPY180635","21/06/2018","France","Cap-Roux",3,1,"outside10","14:00","14:30","00:30",6.82208,43.41629,9.6,23,0.2,-1.18215753240127,0.621651933433814,0.62493887212812,-0.556344483582324
"CX3_2","SPY180630","21/06/2018","France","Cap-Roux",3,2,"outside10","14:00","14:30","00:30",6.82208,43.41629,9.6,23,0.2,-1.21802196139823,0.600682680818372,0.615818220407409,-0.553107395105312
"CX3_3","SPY181822","21/06/2018","France","Cap-Roux",3,3,"outside10","14:45","15:15","00:30",6.82208,43.41629,9.6,23,0.2,-1.24539820438905,0.589393265232285,0.574230178032748,-0.550257408553459
"CX3_4","SPY181823","21/06/2018","France","Cap-Roux",3,4,"outside10","14:45","15:15","00:30",6.82208,43.41629,9.6,23,0.2,-1.2152483232082,0.604772529600578,0.598405460390705,-0.553159411063721
"CAL1_1","SPY192289","01/07/2019","France","Riou",1,1,"reserve","17:10","17:41","00:31",5.38544,43.179,0,24,0.2,1.09615767030569,-1.29312182079925,0.372695874609859,0.712918175508554
"CAL1_2","SPY192280","01/07/2019","France","Riou",1,2,"reserve","17:10","17:41","00:31",5.38544,43.179,0,24,0.2,1.15123294967203,-1.26414592322778,0.394659355619,0.713402534647966
"CAL1_3","SPY192312","01/07/2019","France","Riou",1,3,"reserve","18:08","18:38","00:30",5.38544,43.179,0,24,0.2,1.40526213464569,-1.14758376236289,0.0887030773183722,0.720752606542117
"CAL1_4","SPY192305","01/07/2019","France","Riou",1,4,"reserve","18:08","18:38","00:30",5.38544,43.179,0,24,0.2,1.42831068666158,-1.14372430208568,0.14176117047541,0.702312473214633
"CAL2_1","SPY192284","01/07/2019","France","Riou",2,1,"outside5","12:54","13:24","00:30",5.34645,43.22634,5,24,0.2,-0.566613363828774,-2.99869261828391,0.459164641334123,-0.966206041371707
"CAL2_2","SPY192320","01/07/2019","France","Riou",2,2,"outside5","13:37","14:06","00:29",5.34645,43.22634,5,24,0.2,-0.590515609192584,-3.0145685206723,0.430594889787936,-0.971982645111869
"CAL2_3","SPY192308","01/07/2019","France","Riou",2,3,"outside5","14:20","14:50","00:30",5.34645,43.22634,5,24,0.2,-0.562962788606224,-2.94874127822381,0.455297348969983,-0.888771172615306
"CAL2_4","SPY192285","01/07/2019","France","Riou",2,4,"outside5","15:02","15:32","00:30",5.34645,43.22634,5,24,0.2,-0.54709172123494,-2.98265061665755,0.466987223190484,-0.959732111220024
"CAL3_1","SPY192279","01/07/2019","France","Riou",3,1,"outside10","08:48","08:19","00:31",5.35721,43.27599,11,24,0.2,-0.643142527581148,-1.95595576327309,0.982904082788385,-0.219154275022303
"CAL3_2","SPY192323","01/07/2019","France","Riou",3,2,"outside10","09:35","10:05","00:30",5.35721,43.27599,11,24,0.2,-0.755471794421932,-2.00872669707,0.885986035878782,-0.202127620337904
"CAL3_3","SPY192306","01/07/2019","France","Riou",3,3,"outside10","10:26","10:56","00:30",5.35721,43.27599,11,24,0.2,-0.756336837129894,-2.05887387813431,0.894823151736308,-0.28005045039205
"CAL3_4","SPY192316","01/07/2019","France","Riou",3,4,"outside10","11:16","11:47","00:31",5.35721,43.27599,11,24,0.2,-0.827320242234671,-2.19637158560864,0.836610671006795,-0.43568821422709
"BAN1_1","SPY182540","11/07/2019","France","Banyuls",1,1,"reserve","18:45","19:15","00:30",3.16341,42.46564,0,24,0.2,3.52725860741506,0.235980265090341,1.44341775004916,0.331169428609889
"BAN1_2","SPY182542","11/07/2019","France","Banyuls",1,2,"reserve","18:45","19:15","00:30",3.16341,42.46564,0,24,0.2,3.52808031620605,0.236399413565738,1.44407662634519,0.331090337055271
